session_date,scan_et,symbol,side,entry,sl,tp,notional_usdt,wallet_before,wallet_after,pnl_usdt_gross,fee_usdt,pnl_usdt,pnl_r,outcome,ob_low,ob_high,impulse_pct,entry_mode
2026-04-14,11:00,CRCLUSDT,SHORT,107.15,110.7432,99.9636,320.3331,1263.7815,1268.4623,4.873,0.1922,4.6808,0.4536,session_close,107.15,110.38,0.01175,ob_prox
2026-04-15,09:30,CRCLUSDT,SHORT,107.32,108.7076,104.5448,833.8895,1268.4623,1289.5259,21.5639,0.5003,21.0636,2.0,win,107.32,108.35,0.019573,ob_prox
2026-04-17,10:00,CRCLUSDT,SHORT,109.17,111.6311,104.2479,486.216,1289.5259,1311.1561,21.9219,0.2917,21.6302,2.0,win,109.17,111.27,0.027017,ob_prox
2026-04-20,11:30,CRCLUSDT,LONG,101.32,98.9303,106.0994,472.5287,1311.1561,1333.1623,22.2897,0.2835,22.0062,2.0,win,99.26,101.32,0.009491,ob_prox
2026-04-21,09:30,CRCLUSDT,SHORT,103.87,105.308,100.9941,818.5527,1333.1623,1355.335,22.6638,0.4911,22.1727,2.0,win,103.87,104.96,0.018092,ob_prox
2026-04-22,12:00,CRCLUSDT,SHORT,103.75,105.6915,99.867,615.6268,1355.335,1351.1087,-3.8569,0.3694,-4.2263,-0.3348,session_close,103.75,105.34,0.012262,ob_prox
2026-04-27,10:45,CRCLUSDT,SHORT,97.5,98.7997,94.9005,861.5062,1351.1087,1373.5606,22.9688,0.5169,22.4519,2.0,win,97.5,98.49,0.009747,ob_prox
2026-04-28,09:30,CRCLUSDT,LONG,92.9,92.0774,94.5452,1318.5208,1373.5606,1396.12,23.3505,0.7911,22.5594,2.0,win,92.38,92.9,0.025336,ob_prox
2026-04-30,12:15,CRCLUSDT,SHORT,92.05,93.1856,89.7788,961.9313,1396.12,1408.0829,12.5401,0.5772,11.9629,1.0567,session_close,92.05,92.88,0.008438,ob_prox
2026-05-07,09:45,CRCLUSDT,SHORT,117.07,120.9218,109.3664,363.7726,1408.0829,1419.2684,11.4038,0.2183,11.1855,0.9528,session_close,117.07,120.5,0.019354,ob_prox
2026-05-08,10:45,CRCLUSDT,LONG,111.85,108.6016,118.3468,415.3824,1419.2684,1423.7357,4.7165,0.2492,4.4673,0.391,session_close,109.02,111.85,0.019478,ob_prox
2026-05-11,13:30,CRCLUSDT,LONG,128.82,125.8998,134.6604,533.8468,1423.7357,1435.2676,11.8522,0.3203,11.5319,0.9794,session_close,126.35,128.82,0.0086,ob_prox
2026-05-14,11:00,CRCLUSDT,LONG,120.88,118.2584,126.1232,562.5174,1435.2676,1459.3296,24.3995,0.3375,24.062,2.0,win,118.77,120.88,0.017447,ob_prox
2026-05-15,15:15,CRCLUSDT,SHORT,116.2,118.567,111.466,608.9461,1459.3296,1469.9168,10.9526,0.3654,10.5872,0.883,session_close,116.2,118.05,0.012367,ob_prox
2026-05-19,09:30,CRCLUSDT,LONG,109.58,108.3022,112.1357,1071.4357,1469.9168,1494.2625,24.9886,0.6429,24.3457,2.0,win,108.75,109.58,0.021978,ob_prox
2026-05-20,11:00,CRCLUSDT,LONG,111.95,110.4478,114.9545,946.5184,1494.2625,1491.5809,-2.1137,0.5679,-2.6816,-0.1664,session_close,110.88,111.95,0.011511,ob_prox
2026-05-26,14:15,CRCLUSDT,SHORT,105.89,106.9635,103.7429,1250.5552,1491.5809,1508.7817,17.9511,0.7503,17.2008,1.4159,session_close,105.89,106.58,0.017957,ob_prox
2026-06-01,11:15,CRCLUSDT,LONG,106.21,104.3983,109.8334,751.8464,1508.7817,1499.9067,-8.4239,0.4511,-8.875,-0.6568,session_close,104.75,106.21,0.024707,ob_prox
