session_date,scan_et,symbol,side,entry,sl,tp,notional_usdt,wallet_before,wallet_after,pnl_usdt_gross,fee_usdt,pnl_usdt,pnl_r,outcome,ob_low,ob_high,impulse_pct,entry_mode
2026-04-09,11:30,COINUSDT,LONG,171.97,170.1189,175.6722,11.0551,14.0,13.8744,-0.119,0.0066,-0.1256,-1.0,loss,170.61,171.97,0.032084,ob_prox
2026-04-13,11:30,COINUSDT,SHORT,173.07,175.2426,168.7248,9.4796,14.0,13.9149,-0.0794,0.0057,-0.0851,-0.6674,session_close,173.07,174.78,0.009802,ob_prox
2026-04-14,15:30,COINUSDT,LONG,184.27,183.0504,186.7091,17.9803,14.0,14.0097,0.0205,0.0108,0.0097,0.1722,session_close,183.52,184.27,0.008994,ob_prox
2026-04-21,11:45,COINUSDT,SHORT,201.54,203.7595,197.1011,10.8059,14.0,14.2315,0.238,0.0065,0.2315,2.0,win,201.54,203.21,0.030491,ob_prox
2026-04-24,09:45,COINUSDT,SHORT,201.11,202.619,198.0921,15.86,14.0,14.0883,0.0978,0.0095,0.0883,0.8218,session_close,201.11,202.08,0.009539,ob_prox
2026-04-28,10:45,COINUSDT,SHORT,192.39,195.3477,186.4746,7.7406,14.0,13.8764,-0.119,0.0046,-0.1236,-1.0,loss,192.39,194.87,0.011345,ob_prox
2026-05-01,09:45,COINUSDT,LONG,192.99,189.4783,200.0134,6.5398,14.0,13.9382,-0.0579,0.0039,-0.0618,-0.4869,session_close,189.97,192.99,0.013388,ob_prox
2026-05-05,14:45,COINUSDT,LONG,196.7,195.1095,199.8811,14.7165,14.0,14.0675,0.0763,0.0088,0.0675,0.6413,session_close,195.6,196.7,0.009007,ob_prox
2026-05-07,11:15,COINUSDT,SHORT,194.99,197.0878,190.7944,11.0609,14.0,14.2314,0.238,0.0066,0.2314,2.0,win,194.99,196.56,0.009919,ob_prox
2026-05-11,11:15,COINUSDT,LONG,209.11,206.4943,214.3414,9.5133,14.0,14.2323,0.238,0.0057,0.2323,2.0,win,207.05,209.11,0.016342,ob_prox
2026-05-13,14:15,COINUSDT,LONG,201.41,199.8211,204.5878,15.0847,14.0,14.0336,0.0427,0.0091,0.0336,0.3587,session_close,200.41,201.41,0.008223,ob_prox
