symbol,event,time_et,time_cn,side,entry,exit,notional_usdt,outcome,pnl_usdt_gross,fee_usdt,pnl_usdt
SNDK,open,2026-07-02 10:41:00,2026-07-02 22:41:00,SHORT,1914.825,,21.1646,,,,
COIN,open,2026-07-02 10:42:00,2026-07-02 22:42:00,SHORT,166.5618,,17.2695,,,,
HOOD,open,2026-07-02 10:43:00,2026-07-02 22:43:00,SHORT,114.9256,,15.3665,,,,
HOOD,close,2026-07-02 10:46:00,2026-07-02 22:46:00,SHORT,114.9256,115.8166,15.3665,loss,-0.1191,0.0123,-0.1314
SOXL,close,2026-07-02 10:46:00,2026-07-02 22:46:00,SHORT,206.3717,196.4682,25.5378,win,1.2255,0.0204,1.2051
COIN,close,2026-07-02 10:46:00,2026-07-02 22:46:00,SHORT,166.5618,167.7344,17.2695,loss,-0.1216,0.0138,-0.1354
SOXL,open,2026-07-02 10:51:00,2026-07-02 22:51:00,SHORT,201.1541,,26.8182,,,,
INTC,close,2026-07-02 10:51:00,2026-07-02 22:51:00,SHORT,125.1946,123.9149,17.8834,win,0.1828,0.0143,0.1685
SNDK,close,2026-07-02 10:51:00,2026-07-02 22:51:00,SHORT,1914.825,1849.9493,21.1646,win,0.7171,0.0169,0.7002
COIN,open,2026-07-02 10:53:00,2026-07-02 22:53:00,SHORT,166.1429,,17.1256,,,,
SOXL,close,2026-07-02 10:56:00,2026-07-02 22:56:00,SHORT,201.1541,196.4282,26.8182,win,0.6301,0.0215,0.6086
INTC,open,2026-07-02 10:56:00,2026-07-02 22:56:00,SHORT,123.9845,,18.0624,,,,
SNDK,open,2026-07-02 10:56:00,2026-07-02 22:56:00,SHORT,1870.5573,,21.9085,,,,
COIN,close,2026-07-02 10:59:00,2026-07-02 22:59:00,SHORT,166.1429,167.4621,17.1256,loss,-0.136,0.0137,-0.1497
SNDK,close,2026-07-02 11:01:00,2026-07-02 23:01:00,SHORT,1870.5573,1842.881,21.9085,win,0.3242,0.0175,0.3067
INTC,close,2026-07-02 11:01:00,2026-07-02 23:01:00,SHORT,123.9845,124.6423,18.0624,win,-0.0958,0.0144,-0.1102
SOXL,open,2026-07-02 11:02:00,2026-07-02 23:02:00,SHORT,196.286,,27.4649,,,,
HOOD,open,2026-07-02 11:04:00,2026-07-02 23:04:00,SHORT,114.2087,,15.2269,,,,
INTC,open,2026-07-02 11:06:00,2026-07-02 23:06:00,SHORT,122.9972,,17.9453,,,,
SNDK,open,2026-07-02 11:06:00,2026-07-02 23:06:00,SHORT,1837.1077,,22.2344,,,,
HOOD,close,2026-07-02 11:11:00,2026-07-02 23:11:00,SHORT,114.2087,114.2433,15.2269,win,-0.0046,0.0122,-0.0168
INTC,close,2026-07-02 11:11:00,2026-07-02 23:11:00,SHORT,122.9972,124.0057,17.9453,loss,-0.1471,0.0144,-0.1615
SNDK,close,2026-07-02 11:11:00,2026-07-02 23:11:00,SHORT,1837.1077,1813.8065,22.2344,win,0.282,0.0178,0.2642
SOXL,close,2026-07-02 11:11:00,2026-07-02 23:11:00,SHORT,196.286,193.1365,27.4649,win,0.4407,0.022,0.4187
CRCL,open,2026-07-02 11:15:00,2026-07-02 23:15:00,SHORT,65.4802,,17.3824,,,,
SNDK,open,2026-07-02 11:16:00,2026-07-02 23:16:00,SHORT,1809.4768,,22.5151,,,,
SOXL,open,2026-07-02 11:16:00,2026-07-02 23:16:00,SHORT,189.4042,,27.9097,,,,
INTC,open,2026-07-02 11:16:00,2026-07-02 23:16:00,SHORT,122.2005,,17.7737,,,,
HOOD,open,2026-07-02 11:18:00,2026-07-02 23:18:00,SHORT,113.1183,,15.209,,,,
CRCL,close,2026-07-02 11:21:00,2026-07-02 23:21:00,SHORT,65.4802,65.7746,17.3824,loss,-0.0782,0.0139,-0.0921
SOXL,close,2026-07-02 11:21:00,2026-07-02 23:21:00,SHORT,189.4042,188.2877,27.9097,win,0.1645,0.0223,0.1422
INTC,close,2026-07-02 11:21:00,2026-07-02 23:21:00,SHORT,122.2005,122.5412,17.7737,win,-0.0496,0.0142,-0.0638
SNDK,close,2026-07-02 11:21:00,2026-07-02 23:21:00,SHORT,1809.4768,1798.2534,22.5151,win,0.1397,0.018,0.1217
HOOD,close,2026-07-02 11:26:00,2026-07-02 23:26:00,SHORT,113.1183,114.1122,15.209,loss,-0.1336,0.0122,-0.1458
COIN,open,2026-07-02 12:03:00,2026-07-03 00:03:00,SHORT,164.5439,,16.9665,,,,
COIN,close,2026-07-02 12:12:00,2026-07-03 00:12:00,SHORT,164.5439,165.9796,16.9665,loss,-0.148,0.0136,-0.1616
INTC,open,2026-07-02 12:17:00,2026-07-03 00:17:00,SHORT,121.6199,,17.7059,,,,
HOOD,open,2026-07-02 12:19:00,2026-07-03 00:19:00,SHORT,112.5706,,15.0541,,,,
SOXL,open,2026-07-02 12:20:00,2026-07-03 00:20:00,SHORT,183.8637,,28.0608,,,,
COIN,open,2026-07-02 12:20:00,2026-07-03 00:20:00,SHORT,164.5101,,16.7948,,,,
SNDK,open,2026-07-02 12:24:00,2026-07-03 00:24:00,SHORT,1780.9082,,22.6444,,,,
SOXL,close,2026-07-02 12:29:00,2026-07-03 00:29:00,SHORT,183.8637,183.1443,28.0608,win,0.1098,0.0224,0.0874
MSTR,open,2026-07-02 12:30:00,2026-07-03 00:30:00,SHORT,98.0322,,22.2706,,,,
SOXL,open,2026-07-02 12:31:00,2026-07-03 00:31:00,SHORT,182.0684,,28.1537,,,,
