session_date,side,entry,exit,sl,notional_usdt,pnl_usdt_gross,fee_usdt,pnl_usdt,outcome,hold_minutes,wallet_after,entry_ms
2026-05-05,LONG,196.6201,196.5152,192.6877,1055.9937,-0.5633,0.8448,-1.4081,loss,1155.0,2483.2829,1778004900000
2026-05-06,SHORT,196.3846,195.9048,200.3123,1055.3952,2.5783,0.8443,1.734,win,5.0,2485.0169,1778074260000
2026-05-06,SHORT,195.4627,196.5499,199.3719,1056.1322,-5.8747,0.8449,-6.7196,loss,8.0,2478.2973,1778075220000
2026-05-06,SHORT,194.1182,194.8262,198.0006,1053.2764,-3.8417,0.8426,-4.6843,loss,8.0,2473.613,1778076240000
2026-05-06,SHORT,193.8648,195.1891,197.7421,1051.2855,-7.1813,0.841,-8.0223,loss,18.0,2465.5907,1778081400000
2026-05-06,LONG,196.6934,195.3248,192.7596,1047.876,-7.2914,0.8383,-8.1297,loss,34.0,2457.461,1778084400000
2026-05-06,LONG,196.348,196.9318,192.421,1044.4209,3.1058,0.8355,2.2703,win,1096.0,2459.7313,1778094840000
2026-05-07,SHORT,196.1262,196.0862,200.0488,1045.3858,0.2131,0.8363,-0.6232,win,5.0,2459.1081,1778160660000
2026-05-07,SHORT,193.7596,193.3042,197.6347,1045.1209,2.4564,0.8361,1.6203,win,31.0,2460.7284,1778169540000
2026-05-07,SHORT,191.7524,191.9635,195.5874,1045.8096,-1.1517,0.8366,-1.9883,loss,22.0,2458.7401,1778174280000
2026-05-07,LONG,193.5613,193.0234,189.6901,1044.9645,-2.9041,0.836,-3.7401,loss,28.0,2455.0,1778176740000
2026-05-07,SHORT,191.9062,192.7498,195.7443,1043.375,-4.5864,0.8347,-5.4211,loss,59.0,2449.5789,1778179440000
2026-05-07,LONG,193.2194,192.0314,189.355,1041.071,-6.401,0.8329,-7.2339,loss,1061.0,2442.345,1778183340000
2026-05-08,SHORT,191.4897,185.089,195.3195,1037.9966,34.6959,0.8304,33.8655,win,5.0,2476.2105,1778247060000
2026-05-08,SHORT,187.3088,184.8874,191.055,1052.3895,13.6047,0.8419,12.7628,win,5.0,2488.9733,1778247660000
2026-05-08,SHORT,185.3604,184.4035,189.0676,1057.8137,5.4606,0.8463,4.6143,win,10.0,2493.5876,1778248260000
2026-05-08,LONG,191.3244,191.4957,187.4979,1059.7747,0.9487,0.8478,0.1009,win,12.0,2493.6885,1778251620000
2026-05-08,LONG,192.8633,192.0611,189.006,1059.8176,-4.4079,0.8479,-5.2558,loss,29.0,2488.4327,1778255220000
2026-05-08,LONG,193.9135,192.4282,190.0352,1057.5839,-8.1008,0.8461,-8.9469,loss,13.0,2479.4858,1778257680000
2026-05-08,LONG,193.7808,194.9974,189.9052,1053.7815,6.6162,0.843,5.7732,win,34.0,2485.259,1778261100000
2026-05-08,LONG,196.1843,195.9498,192.2607,1056.2351,-1.263,0.845,-2.108,loss,43.0,2483.151,1778263440000
2026-05-08,SHORT,195.0203,196.3886,198.9207,1055.3392,-7.4048,0.8443,-8.2491,loss,17.0,2474.9019,1778266740000
2026-05-08,LONG,197.209,199.8384,193.2648,1051.8333,14.0241,0.8415,13.1826,win,3968.0,2488.0845,1778268120000
2026-05-11,SHORT,196.9469,194.5138,200.8859,1057.4359,13.0641,0.8459,12.2182,win,5.0,2500.3027,1778506260000
2026-05-11,LONG,201.0841,201.991,197.0625,1062.6286,4.7925,0.8501,3.9424,win,7.0,2504.2451,1778507040000
2026-05-11,LONG,203.5618,205.4928,199.4905,1064.3042,10.0962,0.8514,9.2448,win,16.0,2513.4899,1778507940000
2026-05-11,LONG,207.2368,205.7507,203.092,1068.2332,-7.6601,0.8546,-8.5147,loss,5.0,2504.9752,1778508960000
2026-05-11,LONG,207.4639,207.4371,203.3146,1064.6145,-0.1373,0.8517,-0.989,loss,16.0,2503.9862,1778511480000
2026-05-11,LONG,208.9627,209.4112,204.7834,1064.1941,2.2842,0.8514,1.4328,win,17.0,2505.419,1778512740000
2026-05-11,LONG,210.6802,211.4646,206.4666,1064.8031,3.9647,0.8518,3.1129,win,19.0,2508.5319,1778516040000
2026-05-11,LONG,212.6315,216.2957,208.3789,1066.1261,18.3721,0.8529,17.5192,win,89.0,2526.0511,1778520540000
2026-05-11,SHORT,214.1601,215.4298,218.4433,1073.5717,-6.3647,0.8589,-7.2236,loss,24.0,2518.8275,1778527740000
2026-05-12,SHORT,213.2101,213.4944,217.4743,1070.5017,-1.4276,0.8564,-2.284,loss,1.0,2516.5435,1778592600000
2026-05-12,SHORT,212.0221,210.2184,216.2625,1069.531,9.0986,0.8556,8.243,win,16.0,2524.7865,1778593740000
2026-05-12,SHORT,208.5183,209.8454,212.6887,1073.0343,-6.8294,0.8584,-7.6878,loss,4.0,2517.0987,1778595120000
2026-05-12,SHORT,207.5919,209.2003,211.7437,1069.7669,-8.2885,0.8558,-9.1443,loss,4.0,2507.9544,1778596440000
2026-05-12,SHORT,206.6861,205.9142,210.8198,1065.8806,3.9802,0.8527,3.1275,win,35.0,2511.0819,1778598180000
2026-05-12,SHORT,204.034,205.2187,208.1147,1067.2098,-6.1966,0.8538,-7.0504,loss,12.0,2504.0315,1778601420000
2026-05-12,SHORT,203.4547,201.9427,207.5238,1064.2134,7.9086,0.8514,7.0572,win,24.0,2511.0887,1778604120000
2026-05-12,LONG,204.9733,205.1258,200.8739,1067.2127,0.7936,0.8538,-0.0602,win,100.0,2511.0285,1778606340000
2026-05-12,LONG,207.2942,206.2368,203.1484,1067.1871,-5.4439,0.8537,-6.2976,loss,1055.0,2504.7309,1778615700000
2026-05-13,SHORT,205.2352,202.0738,209.3399,1064.5106,16.3978,0.8516,15.5462,win,11.0,2520.2771,1778679060000
2026-05-13,SHORT,201.5201,199.3118,205.5505,1071.1178,11.7374,0.8569,10.8805,win,8.0,2531.1576,1778679960000
2026-05-13,SHORT,199.8298,199.6747,203.8264,1075.742,0.8346,0.8606,-0.026,win,6.0,2531.1316,1778680560000
2026-05-13,SHORT,199.7708,199.8461,203.7662,1075.7309,-0.4056,0.8606,-1.2662,loss,31.0,2529.8654,1778687460000
2026-05-13,LONG,201.7753,201.0288,197.7398,1075.1928,-3.978,0.8602,-4.8382,loss,30.0,2525.0272,1778689920000
2026-05-13,LONG,201.7769,202.0704,197.7413,1073.1366,1.5612,0.8585,0.7027,win,50.0,2525.7299,1778695740000
2026-05-13,LONG,203.7825,202.3283,199.7068,1073.4352,-7.6598,0.8587,-8.5185,loss,6.0,2517.2114,1778699880000
2026-05-14,SHORT,201.1857,197.0035,205.2094,1069.8148,22.239,0.8559,21.3831,win,16.0,2538.5945,1778765400000
2026-05-14,SHORT,197.4203,198.4752,201.3687,1078.9027,-5.7649,0.8631,-6.628,loss,5.0,2531.9665,1778766660000
2026-05-14,LONG,202.9965,205.6416,198.9366,1076.0858,14.0215,0.8609,13.1606,win,12.0,2545.1271,1778770080000
2026-05-14,LONG,205.2441,207.4074,201.1392,1081.679,11.4008,0.8653,10.5355,win,10.0,2555.6626,1778770860000
2026-05-14,LONG,207.6884,215.879,203.5346,1086.1566,42.8351,0.8689,41.9662,win,50.0,2597.6288,1778771760000
2026-05-14,LONG,215.4603,218.9344,211.1511,1103.9922,17.8009,0.8832,16.9177,win,15.0,2614.5465,1778775060000
2026-05-14,LONG,219.159,220.6605,214.7758,1111.1823,7.613,0.8889,6.7241,win,19.0,2621.2706,1778776320000
2026-05-14,LONG,219.5227,217.7738,215.1322,1114.04,-8.8754,0.8912,-9.7666,loss,18.0,2611.504,1778782920000
2026-05-14,LONG,220.1832,218.8947,215.7796,1109.8892,-6.495,0.8879,-7.3829,loss,3.0,2604.1211,1778784900000
2026-05-14,SHORT,215.8278,197.5075,220.1443,1106.7515,93.9452,0.8854,93.0598,win,1103.0,2697.1809,1778786700000
2026-05-15,SHORT,202.3131,198.6667,206.3593,1146.3019,20.6601,0.917,19.7431,win,5.0,2716.924,1778853060000
2026-05-15,SHORT,199.6673,198.6466,203.6606,1154.6927,5.9029,0.9238,4.9791,win,8.0,2721.9031,1778853660000
2026-05-15,SHORT,197.4665,194.4634,201.4158,1156.8088,17.5932,0.9254,16.6678,win,48.0,2738.5709,1778856420000
2026-05-15,SHORT,193.0581,194.0803,196.9192,1163.8926,-6.1628,0.9311,-7.0939,loss,14.0,2731.477,1778860500000
2026-05-15,LONG,195.2042,198.3405,191.3001,1160.8777,18.6516,0.9287,17.7229,win,54.0,2749.1999,1778865720000
2026-05-15,SHORT,194.9573,190.2802,198.8564,1168.41,28.0307,0.9347,27.096,win,3931.0,2776.2959,1778875200000
2026-05-18,SHORT,192.5274,190.3406,196.378,1179.9258,13.4021,0.9439,12.4582,win,7.0,2788.7541,1779111360000
2026-05-18,SHORT,190.565,190.9354,194.3763,1185.2205,-2.3032,0.9482,-3.2514,loss,5.0,2785.5027,1779111960000
2026-05-18,SHORT,188.6318,188.5766,192.4045,1183.8386,0.3463,0.9471,-0.6008,win,4.0,2784.9019,1779114780000
2026-05-18,SHORT,187.541,186.9235,191.2918,1183.5833,3.8968,0.9469,2.9499,win,48.0,2787.8518,1779115560000
2026-05-18,SHORT,186.0402,186.9134,189.761,1184.837,-5.5616,0.9479,-6.5095,loss,36.0,2781.3423,1779121800000
2026-05-18,SHORT,185.1065,185.7946,188.8086,1182.0705,-4.3939,0.9457,-5.3396,loss,16.0,2776.0027,1779128160000
2026-05-18,LONG,186.5384,187.1011,182.8077,1179.8011,3.5587,0.9438,2.6149,win,5.0,2778.6176,1779130860000
2026-05-18,LONG,188.3867,188.4106,184.619,1180.9125,0.1495,0.9447,-0.7952,win,1075.0,2777.8224,1779132900000
2026-05-19,SHORT,187.1936,187.3066,190.9375,1180.5745,-0.7124,0.9445,-1.6569,loss,5.0,2776.1655,1779197460000
2026-05-19,LONG,192.9608,191.4362,189.1016,1179.8703,-9.3226,0.9439,-10.2665,loss,15.0,2765.899,1779205200000
2026-05-19,LONG,192.9891,193.9955,189.1293,1175.5071,6.13,0.9404,5.1896,win,60.0,2771.0886,1779209100000
2026-05-19,SHORT,193.3476,194.4432,197.2146,1177.7127,-6.6734,0.9422,-7.6156,loss,14.0,2763.473,1779216900000
2026-05-20,SHORT,192.3871,191.5099,196.2349,1174.476,5.3551,0.9396,4.4155,win,7.0,2767.8885,1779283800000
2026-05-20,SHORT,191.3137,191.8022,195.14,1176.3526,-3.0038,0.9411,-3.9449,loss,4.0,2763.9436,1779284520000
2026-05-20,LONG,195.1,193.817,191.198,1174.676,-7.7253,0.9397,-8.665,loss,7.0,2755.2786,1779286620000
2026-05-20,LONG,195.4405,194.1741,191.5317,1170.9934,-7.588,0.9368,-8.5248,loss,2.0,2746.7538,1779290100000
2026-05-20,LONG,195.4045,194.4915,191.4964,1167.3704,-5.4541,0.9339,-6.388,loss,59.0,2740.3658,1779290460000
