day,symbol,time_et,dir,entry,stop,box_hh,box_ll,box_pct,birth_disp_pct,disp_pct,pct_1,ok_1,pct_4,ok_4,pct_20,ok_20,stop_hit_20
2026-06-26,CRCL,13:00,up,74.39,71.77,74.37,71.77,3.5,85.2,85.2,0.0,-,-0.97,-,-1.24,-,N
2026-06-29,CRCL,09:45,down,73.14,75.98,75.98,73.43,3.49,87.8,87.8,-0.05,-,0.19,+,-0.23,-,N
2026-06-29,CRCL,10:10,down,72.7,75.98,75.98,72.93,4.2,87.8,87.8,-0.96,-,-2.35,-,-1.38,-,N
2026-06-29,CRCL,15:55,up,76.12,74.49,76.11,74.49,2.13,85.4,85.4,0.0,-,0.0,-,0.0,-,N
2026-06-30,CRCL,09:35,down,71.33,75.21,75.21,72.04,4.44,87.8,87.8,-0.06,-,2.44,+,7.4,+,N
2026-06-30,CRCL,09:45,down,70.05,75.21,75.21,71.22,5.7,87.8,87.8,0.26,+,0.0,-,5.6,+,N
2026-06-30,CRCL,09:50,down,69.87,75.17,75.17,69.89,7.56,87.9,87.9,0.4,+,-0.66,-,5.17,+,N
2026-06-30,CRCL,09:55,down,69.59,74.99,74.99,69.73,7.56,88.0,88.0,-0.65,-,-0.75,-,5.12,+,N
2026-06-30,CRCL,10:35,down,69.04,74.67,74.67,69.15,8.0,88.0,88.0,0.12,+,4.61,+,5.2,+,N
2026-06-30,CRCL,10:45,down,67.89,74.52,74.52,68.84,8.37,88.1,88.1,1.77,+,3.64,+,4.07,+,N
2026-06-30,CRCL,10:50,down,66.69,74.18,74.18,67.76,9.63,88.2,88.2,1.24,+,0.57,+,2.28,+,N
2026-06-30,CRCL,10:55,down,65.86,74.18,74.18,66.66,11.42,88.2,88.2,0.44,+,-0.29,-,1.23,+,N
2026-06-30,CRCL,11:05,down,65.42,74.18,74.18,65.47,13.31,88.3,88.3,-1.36,-,-1.09,-,1.15,+,N
2026-06-30,CRCL,12:40,down,64.52,74.04,74.04,65.05,13.93,88.4,88.4,-0.23,-,-0.45,-,1.67,+,N
